unitid,Total,Men,Women,Group
100654,1222,524,698,Incoming cohort (minus exclusions)
100654,343,120,223,Completers within 150% of normal time
100663,1587,623,964,Incoming cohort (minus exclusions)
100663,991,360,631,Completers within 150% of normal time
100690,6,3,3,Incoming cohort (minus exclusions)
100690,4,2,2,Completers within 150% of normal time
100706,1026,615,411,Incoming cohort (minus exclusions)
100706,623,343,280,Completers within 150% of normal time
100724,1006,394,612,Incoming cohort (minus exclusions)
100724,286,91,195,Completers within 150% of normal time
100751,7169,3000,4169,Incoming cohort (minus exclusions)
100751,5178,2103,3075,Completers within 150% of normal time
100830,566,210,356,Incoming cohort (minus exclusions)
100830,202,70,132,Completers within 150% of normal time
100858,4848,2273,2575,Incoming cohort (minus exclusions)
100858,3921,1757,2164,Completers within 150% of normal time
100937,441,220,221,Incoming cohort (minus exclusions)
100937,308,140,168,Completers within 150% of normal time
101116,22,3,19,Incoming cohort (minus exclusions)
101116,3,0,3,Completers within 150% of normal time
101189,277,160,117,Incoming cohort (minus exclusions)
101189,50,26,24,Completers within 150% of normal time
101435,251,148,103,Incoming cohort (minus exclusions)
101435,111,57,54,Completers within 150% of normal time
101480,1021,475,546,Incoming cohort (minus exclusions)
101480,507,201,306,Completers within 150% of normal time
101587,369,193,176,Incoming cohort (minus exclusions)
101587,137,58,79,Completers within 150% of normal time
101675,423,228,195,Incoming cohort (minus exclusions)
101675,101,38,63,Completers within 150% of normal time
101693,282,108,174,Incoming cohort (minus exclusions)
101693,145,47,98,Completers within 150% of normal time
101709,501,155,346,Incoming cohort (minus exclusions)
101709,259,72,187,Completers within 150% of normal time
101879,1156,475,681,Incoming cohort (minus exclusions)
101879,592,223,369,Completers within 150% of normal time
101912,335,142,193,Incoming cohort (minus exclusions)
101912,166,59,107,Completers within 150% of normal time
102049,825,288,537,Incoming cohort (minus exclusions)
102049,651,213,438,Completers within 150% of normal time
102058,139,75,64,Incoming cohort (minus exclusions)
102058,10,4,6,Completers within 150% of normal time
102094,2082,892,1190,Incoming cohort (minus exclusions)
102094,987,352,635,Completers within 150% of normal time
102234,415,166,249,Incoming cohort (minus exclusions)
102234,234,90,144,Completers within 150% of normal time
102270,232,136,96,Incoming cohort (minus exclusions)
102270,34,11,23,Completers within 150% of normal time
102298,236,132,104,Incoming cohort (minus exclusions)
102298,58,23,35,Completers within 150% of normal time
102368,1671,700,971,Incoming cohort (minus exclusions)
102368,872,303,569,Completers within 150% of normal time
102377,577,208,369,Incoming cohort (minus exclusions)
102377,331,108,223,Completers within 150% of normal time
102553,950,420,530,Incoming cohort (minus exclusions)
102553,327,138,189,Completers within 150% of normal time
102580,3,2,1,Incoming cohort (minus exclusions)
102580,1,1,0,Completers within 150% of normal time
102614,448,242,206,Incoming cohort (minus exclusions)
102614,215,121,94,Completers within 150% of normal time
102632,70,20,50,Incoming cohort (minus exclusions)
102632,24,7,17,Completers within 150% of normal time
102669,36,16,20,Incoming cohort (minus exclusions)
102669,8,4,4,Completers within 150% of normal time
104090,10,3,7,Incoming cohort (minus exclusions)
104090,2,0,2,Completers within 150% of normal time
104151,11270,6050,5220,Incoming cohort (minus exclusions)
104151,7440,3809,3631,Completers within 150% of normal time
104179,6961,3365,3596,Incoming cohort (minus exclusions)
104179,4479,2003,2476,Completers within 150% of normal time
104586,578,436,142,Incoming cohort (minus exclusions)
104586,404,298,106,Completers within 150% of normal time
104717,2452,966,1486,Incoming cohort (minus exclusions)
104717,1097,430,667,Completers within 150% of normal time
105330,4659,1724,2935,Incoming cohort (minus exclusions)
105330,2749,891,1858,Completers within 150% of normal time
105589,35,15,20,Incoming cohort (minus exclusions)
105589,14,7,7,Completers within 150% of normal time
105899,120,85,35,Incoming cohort (minus exclusions)
105899,43,22,21,Completers within 150% of normal time
106245,792,334,458,Incoming cohort (minus exclusions)
106245,312,109,203,Completers within 150% of normal time
106342,213,123,90,Incoming cohort (minus exclusions)
106342,97,49,48,Completers within 150% of normal time
106397,4862,2217,2645,Incoming cohort (minus exclusions)
106397,3388,1467,1921,Completers within 150% of normal time
106412,670,296,374,Incoming cohort (minus exclusions)
106412,273,93,180,Completers within 150% of normal time
106458,1514,697,817,Incoming cohort (minus exclusions)
106458,817,333,484,Completers within 150% of normal time
106467,1647,816,831,Incoming cohort (minus exclusions)
106467,795,387,408,Completers within 150% of normal time
106485,372,202,170,Incoming cohort (minus exclusions)
106485,115,57,58,Completers within 150% of normal time
106704,1986,754,1232,Incoming cohort (minus exclusions)
106704,981,338,643,Completers within 150% of normal time
106713,71,32,39,Incoming cohort (minus exclusions)
106713,30,11,19,Completers within 150% of normal time
106810,14,6,8,Incoming cohort (minus exclusions)
106810,4,1,3,Completers within 150% of normal time
107044,990,456,534,Incoming cohort (minus exclusions)
107044,665,293,372,Completers within 150% of normal time
107071,758,346,412,Incoming cohort (minus exclusions)
107071,282,107,175,Completers within 150% of normal time
107080,391,191,200,Incoming cohort (minus exclusions)
107080,285,134,151,Completers within 150% of normal time
107141,358,148,210,Incoming cohort (minus exclusions)
107141,252,94,158,Completers within 150% of normal time
107512,402,201,201,Incoming cohort (minus exclusions)
107512,267,126,141,Completers within 150% of normal time
107558,209,100,109,Incoming cohort (minus exclusions)
107558,102,51,51,Completers within 150% of normal time
107600,170,75,95,Incoming cohort (minus exclusions)
107600,48,20,28,Completers within 150% of normal time
107877,126,71,55,Incoming cohort (minus exclusions)
107877,40,24,16,Completers within 150% of normal time
107983,779,346,433,Incoming cohort (minus exclusions)
107983,312,121,191,Completers within 150% of normal time
108092,1027,470,557,Incoming cohort (minus exclusions)
108092,270,90,180,Completers within 150% of normal time
108232,575,242,333,Incoming cohort (minus exclusions)
108232,220,76,144,Completers within 150% of normal time
109651,174,63,111,Incoming cohort (minus exclusions)
109651,132,42,90,Completers within 150% of normal time
109785,1190,389,801,Incoming cohort (minus exclusions)
109785,851,251,600,Completers within 150% of normal time
110060,59,34,25,Incoming cohort (minus exclusions)
110060,9,6,3,Completers within 150% of normal time
110097,825,262,563,Incoming cohort (minus exclusions)
110097,577,176,401,Completers within 150% of normal time
110219,73,39,34,Incoming cohort (minus exclusions)
110219,20,12,8,Completers within 150% of normal time
110361,1075,433,642,Incoming cohort (minus exclusions)
110361,610,235,375,Completers within 150% of normal time
110370,240,87,153,Incoming cohort (minus exclusions)
110370,157,53,104,Completers within 150% of normal time
110404,240,129,111,Incoming cohort (minus exclusions)
110404,223,118,105,Completers within 150% of normal time
110413,595,226,369,Incoming cohort (minus exclusions)
110413,439,154,285,Completers within 150% of normal time
110422,4928,2457,2471,Incoming cohort (minus exclusions)
110422,4208,2019,2189,Completers within 150% of normal time
110468,11,3,8,Incoming cohort (minus exclusions)
110468,1,1,0,Completers within 150% of normal time
110486,1453,571,882,Incoming cohort (minus exclusions)
110486,691,237,454,Completers within 150% of normal time
110495,1220,407,813,Incoming cohort (minus exclusions)
110495,703,212,491,Completers within 150% of normal time
110510,2944,1166,1778,Incoming cohort (minus exclusions)
110510,1677,606,1071,Completers within 150% of normal time
110529,2656,1355,1301,Incoming cohort (minus exclusions)
110529,1864,903,961,Completers within 150% of normal time
110538,2665,1147,1518,Incoming cohort (minus exclusions)
110538,1742,694,1048,Completers within 150% of normal time
110547,1266,452,814,Incoming cohort (minus exclusions)
110547,665,232,433,Completers within 150% of normal time
110556,3537,1421,2116,Incoming cohort (minus exclusions)
110556,2001,722,1279,Completers within 150% of normal time
110565,4287,1873,2414,Incoming cohort (minus exclusions)
110565,3064,1241,1823,Completers within 150% of normal time
110574,1730,640,1090,Incoming cohort (minus exclusions)
110574,838,279,559,Completers within 150% of normal time
110583,4399,1808,2591,Incoming cohort (minus exclusions)
110583,3320,1293,2027,Completers within 150% of normal time
110592,3688,1510,2178,Incoming cohort (minus exclusions)
110592,1914,712,1202,Completers within 150% of normal time
110608,5517,2479,3038,Incoming cohort (minus exclusions)
110608,2990,1168,1822,Completers within 150% of normal time
110617,3648,1548,2100,Incoming cohort (minus exclusions)
110617,2096,795,1301,Completers within 150% of normal time
110635,5510,2655,2855,Incoming cohort (minus exclusions)
110635,5114,2439,2675,Completers within 150% of normal time
110644,5323,1962,3361,Incoming cohort (minus exclusions)
110644,4628,1650,2978,Completers within 150% of normal time
110653,5737,2522,3215,Incoming cohort (minus exclusions)
110653,4800,2027,2773,Completers within 150% of normal time
110662,5667,2375,3292,Incoming cohort (minus exclusions)
110662,5221,2146,3075,Completers within 150% of normal time
110671,4017,1830,2187,Incoming cohort (minus exclusions)
110671,3071,1363,1708,Completers within 150% of normal time
110680,5286,2708,2578,Incoming cohort (minus exclusions)
110680,4723,2359,2364,Completers within 150% of normal time
110705,4459,1973,2486,Incoming cohort (minus exclusions)
110705,3807,1608,2199,Completers within 150% of normal time
110714,3605,1722,1883,Incoming cohort (minus exclusions)
110714,2815,1311,1504,Completers within 150% of normal time
111045,4,2,2,Incoming cohort (minus exclusions)
111045,4,2,2,Completers within 150% of normal time
111081,171,60,111,Incoming cohort (minus exclusions)
111081,123,40,83,Completers within 150% of normal time
111188,220,187,33,Incoming cohort (minus exclusions)
111188,150,123,27,Completers within 150% of normal time
111948,1396,520,876,Incoming cohort (minus exclusions)
111948,1113,392,721,Completers within 150% of normal time
112075,334,110,224,Incoming cohort (minus exclusions)
112075,227,74,153,Completers within 150% of normal time
112084,72,40,32,Incoming cohort (minus exclusions)
112084,35,21,14,Completers within 150% of normal time
112260,343,176,167,Incoming cohort (minus exclusions)
112260,318,161,157,Completers within 150% of normal time
112394,107,75,32,Incoming cohort (minus exclusions)
112394,47,32,15,Completers within 150% of normal time
112570,77,43,34,Incoming cohort (minus exclusions)
112570,41,21,20,Completers within 150% of normal time
113582,6,0,6,Incoming cohort (minus exclusions)
113582,3,0,3,Completers within 150% of normal time
113698,252,81,171,Incoming cohort (minus exclusions)
113698,195,58,137,Completers within 150% of normal time
114813,164,56,108,Incoming cohort (minus exclusions)
114813,111,31,80,Completers within 150% of normal time
115409,214,114,100,Incoming cohort (minus exclusions)
115409,202,106,96,Completers within 150% of normal time
115728,119,33,86,Incoming cohort (minus exclusions)
115728,69,17,52,Completers within 150% of normal time
115755,1400,530,870,Incoming cohort (minus exclusions)
115755,665,235,430,Completers within 150% of normal time
115773,2,0,2,Incoming cohort (minus exclusions)
115773,2,0,2,Completers within 150% of normal time
116226,5,1,4,Incoming cohort (minus exclusions)
116226,3,1,2,Completers within 150% of normal time
116846,8,4,4,Incoming cohort (minus exclusions)
116846,4,2,2,Completers within 150% of normal time
117104,72,33,39,Incoming cohort (minus exclusions)
117104,37,19,18,Completers within 150% of normal time
117140,718,271,447,Incoming cohort (minus exclusions)
117140,498,177,321,Completers within 150% of normal time
117168,81,21,60,Incoming cohort (minus exclusions)
117168,57,16,41,Completers within 150% of normal time
117557,33,27,6,Incoming cohort (minus exclusions)
117557,24,20,4,Completers within 150% of normal time
117627,258,95,163,Incoming cohort (minus exclusions)
117627,148,56,92,Completers within 150% of normal time
117672,1,0,1,Incoming cohort (minus exclusions)
117672,1,0,1,Completers within 150% of normal time
117751,201,101,100,Incoming cohort (minus exclusions)
117751,144,76,68,Completers within 150% of normal time
117946,1352,604,748,Incoming cohort (minus exclusions)
117946,1065,471,594,Completers within 150% of normal time
118541,256,109,147,Incoming cohort (minus exclusions)
118541,101,31,70,Completers within 150% of normal time
118693,151,85,66,Incoming cohort (minus exclusions)
118693,83,41,42,Completers within 150% of normal time
118888,133,0,133,Incoming cohort (minus exclusions)
118888,83,0,83,Completers within 150% of normal time
119173,291,19,272,Incoming cohort (minus exclusions)
119173,183,9,174,Completers within 150% of normal time
119270,19,15,4,Incoming cohort (minus exclusions)
119270,13,10,3,Completers within 150% of normal time
119605,28,15,13,Incoming cohort (minus exclusions)
119605,13,7,6,Completers within 150% of normal time
119775,54,33,21,Incoming cohort (minus exclusions)
119775,29,15,14,Completers within 150% of normal time
120166,15,8,7,Incoming cohort (minus exclusions)
120166,4,1,3,Completers within 150% of normal time
120184,171,46,125,Incoming cohort (minus exclusions)
120184,93,22,71,Completers within 150% of normal time
120254,515,211,304,Incoming cohort (minus exclusions)
120254,427,177,250,Completers within 150% of normal time
120403,191,67,124,Incoming cohort (minus exclusions)
120403,131,40,91,Completers within 150% of normal time
120537,112,44,68,Incoming cohort (minus exclusions)
120537,47,13,34,Completers within 150% of normal time
120838,4,4,0,Incoming cohort (minus exclusions)
120838,3,3,0,Completers within 150% of normal time
120865,171,77,94,Incoming cohort (minus exclusions)
120865,76,28,48,Completers within 150% of normal time
120883,934,412,522,Incoming cohort (minus exclusions)
120883,649,256,393,Completers within 150% of normal time
121150,745,305,440,Incoming cohort (minus exclusions)
121150,618,237,381,Completers within 150% of normal time
121257,267,118,149,Incoming cohort (minus exclusions)
121257,236,100,136,Completers within 150% of normal time
121309,598,206,392,Incoming cohort (minus exclusions)
121309,435,140,295,Completers within 150% of normal time
121345,399,191,208,Incoming cohort (minus exclusions)
121345,371,176,195,Completers within 150% of normal time
121691,523,230,293,Incoming cohort (minus exclusions)
121691,363,148,215,Completers within 150% of normal time
122409,4955,2238,2717,Incoming cohort (minus exclusions)
122409,3773,1603,2170,Completers within 150% of normal time
122436,1101,468,633,Incoming cohort (minus exclusions)
122436,881,375,506,Completers within 150% of normal time
122454,85,35,50,Incoming cohort (minus exclusions)
122454,27,13,14,Completers within 150% of normal time
122506,34,21,13,Incoming cohort (minus exclusions)
122506,24,13,11,Completers within 150% of normal time
122597,4081,1579,2502,Incoming cohort (minus exclusions)
122597,2192,781,1411,Completers within 150% of normal time
122612,1263,422,841,Incoming cohort (minus exclusions)
122612,955,304,651,Completers within 150% of normal time
122728,145,53,92,Incoming cohort (minus exclusions)
122728,87,23,64,Completers within 150% of normal time
122755,3329,1776,1553,Incoming cohort (minus exclusions)
122755,2290,1147,1143,Completers within 150% of normal time
122931,1260,657,603,Incoming cohort (minus exclusions)
122931,1145,584,561,Completers within 150% of normal time
123165,277,0,277,Incoming cohort (minus exclusions)
123165,228,0,228,Completers within 150% of normal time
123457,66,27,39,Incoming cohort (minus exclusions)
123457,30,10,20,Completers within 150% of normal time
123554,650,246,404,Incoming cohort (minus exclusions)
123554,475,165,310,Completers within 150% of normal time
123572,1866,662,1204,Incoming cohort (minus exclusions)
123572,1118,336,782,Completers within 150% of normal time
123651,371,124,247,Incoming cohort (minus exclusions)
123651,228,75,153,Completers within 150% of normal time
123952,29,19,10,Incoming cohort (minus exclusions)
123952,21,14,7,Completers within 150% of normal time
123961,2943,1379,1564,Incoming cohort (minus exclusions)
123961,2708,1249,1459,Completers within 150% of normal time
124292,78,37,41,Incoming cohort (minus exclusions)
124292,67,31,36,Completers within 150% of normal time
124487,2,0,2,Incoming cohort (minus exclusions)
124487,1,0,1,Completers within 150% of normal time
125727,339,142,197,Incoming cohort (minus exclusions)
125727,249,100,149,Completers within 150% of normal time
125763,445,189,256,Incoming cohort (minus exclusions)
125763,283,103,180,Completers within 150% of normal time
125897,115,49,66,Incoming cohort (minus exclusions)
125897,68,30,38,Completers within 150% of normal time
126076,60,60,0,Incoming cohort (minus exclusions)
126076,15,15,0,Completers within 150% of normal time
126182,364,193,171,Incoming cohort (minus exclusions)
126182,122,49,73,Completers within 150% of normal time
126562,1278,529,749,Incoming cohort (minus exclusions)
126562,614,227,387,Completers within 150% of normal time
126580,1579,822,757,Incoming cohort (minus exclusions)
126580,697,331,366,Completers within 150% of normal time
126614,6163,3292,2871,Incoming cohort (minus exclusions)
126614,4563,2320,2243,Completers within 150% of normal time
126669,350,125,225,Incoming cohort (minus exclusions)
126669,204,68,136,Completers within 150% of normal time
126678,582,258,324,Incoming cohort (minus exclusions)
126678,499,218,281,Completers within 150% of normal time
126711,35,21,14,Incoming cohort (minus exclusions)
126711,5,2,3,Completers within 150% of normal time
126775,1003,685,318,Incoming cohort (minus exclusions)
126775,835,568,267,Completers within 150% of normal time
126818,4618,2149,2469,Incoming cohort (minus exclusions)
126818,3192,1428,1764,Completers within 150% of normal time
126827,696,365,331,Incoming cohort (minus exclusions)
126827,147,85,62,Completers within 150% of normal time
127060,1415,631,784,Incoming cohort (minus exclusions)
127060,1071,444,627,Completers within 150% of normal time
127185,808,382,426,Incoming cohort (minus exclusions)
127185,356,159,197,Completers within 150% of normal time
127556,1193,535,658,Incoming cohort (minus exclusions)
127556,557,207,350,Completers within 150% of normal time
127565,1576,776,800,Incoming cohort (minus exclusions)
127565,469,207,262,Completers within 150% of normal time
127653,38,14,24,Incoming cohort (minus exclusions)
127653,13,5,8,Completers within 150% of normal time
127741,2021,732,1289,Incoming cohort (minus exclusions)
127741,1049,353,696,Completers within 150% of normal time
127918,534,168,366,Incoming cohort (minus exclusions)
127918,333,93,240,Completers within 150% of normal time
127945,76,23,53,Incoming cohort (minus exclusions)
127945,33,8,25,Completers within 150% of normal time
128106,765,361,404,Incoming cohort (minus exclusions)
128106,295,124,171,Completers within 150% of normal time
128328,1150,851,299,Incoming cohort (minus exclusions)
128328,990,732,258,Completers within 150% of normal time
128391,464,274,190,Incoming cohort (minus exclusions)
128391,221,122,99,Completers within 150% of normal time
128498,134,51,83,Incoming cohort (minus exclusions)
128498,80,30,50,Completers within 150% of normal time
128744,408,149,259,Incoming cohort (minus exclusions)
128744,180,61,119,Completers within 150% of normal time
128771,1343,715,628,Incoming cohort (minus exclusions)
128771,735,344,391,Completers within 150% of normal time
128902,478,176,302,Incoming cohort (minus exclusions)
128902,387,137,250,Completers within 150% of normal time
129020,3734,1816,1918,Incoming cohort (minus exclusions)
129020,3104,1436,1668,Completers within 150% of normal time
129154,16,2,14,Incoming cohort (minus exclusions)
129154,7,1,6,Completers within 150% of normal time
129215,968,404,564,Incoming cohort (minus exclusions)
129215,552,200,352,Completers within 150% of normal time
129242,965,379,586,Incoming cohort (minus exclusions)
129242,810,314,496,Completers within 150% of normal time
129525,1215,596,619,Incoming cohort (minus exclusions)
129525,737,344,393,Completers within 150% of normal time
129534,7,5,2,Incoming cohort (minus exclusions)
129534,4,4,0,Completers within 150% of normal time
129774,119,72,47,Incoming cohort (minus exclusions)
129774,50,26,24,Completers within 150% of normal time
129941,1233,562,671,Incoming cohort (minus exclusions)
129941,815,362,453,Completers within 150% of normal time
130110,7,2,5,Incoming cohort (minus exclusions)
130110,4,0,4,Completers within 150% of normal time
130183,307,136,171,Incoming cohort (minus exclusions)
130183,68,37,31,Completers within 150% of normal time
130226,1901,724,1177,Incoming cohort (minus exclusions)
130226,1521,542,979,Completers within 150% of normal time
130253,1290,455,835,Incoming cohort (minus exclusions)
130253,948,329,619,Completers within 150% of normal time
130314,211,1,210,Incoming cohort (minus exclusions)
130314,119,0,119,Completers within 150% of normal time
130493,1391,516,875,Incoming cohort (minus exclusions)
130493,727,231,496,Completers within 150% of normal time
130590,559,302,257,Incoming cohort (minus exclusions)
130590,476,259,217,Completers within 150% of normal time
130624,264,174,90,Incoming cohort (minus exclusions)
130624,243,163,80,Completers within 150% of normal time
130697,757,340,417,Incoming cohort (minus exclusions)
130697,689,298,391,Completers within 150% of normal time
130776,665,322,343,Incoming cohort (minus exclusions)
130776,352,151,201,Completers within 150% of normal time
130794,1362,694,668,Incoming cohort (minus exclusions)
130794,1320,671,649,Completers within 150% of normal time
130934,887,286,601,Incoming cohort (minus exclusions)
130934,417,116,301,Completers within 150% of normal time
130943,4083,1706,2377,Incoming cohort (minus exclusions)
130943,3419,1378,2041,Completers within 150% of normal time
130989,112,38,74,Incoming cohort (minus exclusions)
130989,63,24,39,Completers within 150% of normal time
131098,471,209,262,Incoming cohort (minus exclusions)
131098,149,52,97,Completers within 150% of normal time
131113,246,128,118,Incoming cohort (minus exclusions)
131113,61,33,28,Completers within 150% of normal time
131159,1779,627,1152,Incoming cohort (minus exclusions)
131159,1400,482,918,Completers within 150% of normal time
131283,904,421,483,Incoming cohort (minus exclusions)
131283,666,301,365,Completers within 150% of normal time
131399,103,57,46,Incoming cohort (minus exclusions)
131399,45,29,16,Completers within 150% of normal time
131450,178,99,79,Incoming cohort (minus exclusions)
131450,103,54,49,Completers within 150% of normal time
131469,2576,995,1581,Incoming cohort (minus exclusions)
131469,2155,804,1351,Completers within 150% of normal time
131496,1564,703,861,Incoming cohort (minus exclusions)
131496,1489,664,825,Completers within 150% of normal time
131520,1642,512,1130,Incoming cohort (minus exclusions)
131520,1044,309,735,Completers within 150% of normal time
131876,217,0,217,Incoming cohort (minus exclusions)
131876,88,0,88,Completers within 150% of normal time
132408,38,18,20,Incoming cohort (minus exclusions)
132408,21,7,14,Completers within 150% of normal time
132471,431,146,285,Incoming cohort (minus exclusions)
132471,175,53,122,Completers within 150% of normal time
132602,902,358,544,Incoming cohort (minus exclusions)
132602,293,105,188,Completers within 150% of normal time
132657,512,240,272,Incoming cohort (minus exclusions)
132657,257,115,142,Completers within 150% of normal time
132879,36,19,17,Incoming cohort (minus exclusions)
132879,11,2,9,Completers within 150% of normal time
132903,6289,2909,3380,Incoming cohort (minus exclusions)
132903,4713,2038,2675,Completers within 150% of normal time
133465,14,3,11,Incoming cohort (minus exclusions)
133465,5,1,4,Completers within 150% of normal time
133492,484,178,306,Incoming cohort (minus exclusions)
133492,330,113,217,Completers within 150% of normal time
133526,221,126,95,Incoming cohort (minus exclusions)
133526,61,31,30,Completers within 150% of normal time
133553,1260,1035,225,Incoming cohort (minus exclusions)
133553,783,619,164,Completers within 150% of normal time
133650,1546,519,1027,Incoming cohort (minus exclusions)
133650,856,235,621,Completers within 150% of normal time
133669,3259,1380,1879,Incoming cohort (minus exclusions)
133669,1807,722,1085,Completers within 150% of normal time
133711,620,218,402,Incoming cohort (minus exclusions)
133711,359,109,250,Completers within 150% of normal time
133809,190,77,113,Incoming cohort (minus exclusions)
133809,102,37,65,Completers within 150% of normal time
133872,48,8,40,Incoming cohort (minus exclusions)
133872,20,3,17,Completers within 150% of normal time
133881,644,466,178,Incoming cohort (minus exclusions)
133881,427,298,129,Completers within 150% of normal time
133951,3770,1646,2124,Incoming cohort (minus exclusions)
133951,2529,1032,1497,Completers within 150% of normal time
133979,363,139,224,Incoming cohort (minus exclusions)
133979,116,36,80,Completers within 150% of normal time
134079,691,231,460,Incoming cohort (minus exclusions)
134079,468,148,320,Completers within 150% of normal time
134097,6018,2445,3573,Incoming cohort (minus exclusions)
134097,5008,1931,3077,Completers within 150% of normal time
134130,6771,2779,3992,Incoming cohort (minus exclusions)
134130,6149,2462,3687,Completers within 150% of normal time
134237,4064,3179,885,Incoming cohort (minus exclusions)
134237,1790,1351,439,Completers within 150% of normal time
134510,26,10,16,Incoming cohort (minus exclusions)
134510,8,3,5,Completers within 150% of normal time
134811,279,113,166,Incoming cohort (minus exclusions)
134811,100,28,72,Completers within 150% of normal time
134945,464,208,256,Incoming cohort (minus exclusions)
134945,222,87,135,Completers within 150% of normal time
135081,433,158,275,Incoming cohort (minus exclusions)
135081,238,81,157,Completers within 150% of normal time
135726,2056,996,1060,Incoming cohort (minus exclusions)
135726,1717,818,899,Completers within 150% of normal time
136172,1480,651,829,Incoming cohort (minus exclusions)
136172,996,392,604,Completers within 150% of normal time
136215,633,219,414,Incoming cohort (minus exclusions)
136215,383,137,246,Completers within 150% of normal time
136330,541,190,351,Incoming cohort (minus exclusions)
136330,328,112,216,Completers within 150% of normal time
136774,302,93,209,Incoming cohort (minus exclusions)
136774,243,69,174,Completers within 150% of normal time
136950,493,196,297,Incoming cohort (minus exclusions)
136950,348,142,206,Completers within 150% of normal time
137032,653,256,397,Incoming cohort (minus exclusions)
137032,302,108,194,Completers within 150% of normal time
137272,9,9,0,Incoming cohort (minus exclusions)
137272,9,9,0,Completers within 150% of normal time
137351,4757,1977,2780,Incoming cohort (minus exclusions)
137351,3550,1382,2168,Completers within 150% of normal time
137476,194,91,103,Incoming cohort (minus exclusions)
137476,80,37,43,Completers within 150% of normal time
137546,980,406,574,Incoming cohort (minus exclusions)
137546,620,256,364,Completers within 150% of normal time
137564,773,372,401,Incoming cohort (minus exclusions)
137564,417,164,253,Completers within 150% of normal time
137777,19,19,0,Incoming cohort (minus exclusions)
137777,12,12,0,Completers within 150% of normal time
137847,1798,658,1140,Incoming cohort (minus exclusions)
137847,1117,387,730,Completers within 150% of normal time
137953,66,47,19,Incoming cohort (minus exclusions)
137953,14,6,8,Completers within 150% of normal time
137962,32,19,13,Incoming cohort (minus exclusions)
137962,11,6,5,Completers within 150% of normal time
138275,197,134,63,Incoming cohort (minus exclusions)
138275,80,41,39,Completers within 150% of normal time
138293,181,149,32,Incoming cohort (minus exclusions)
138293,44,31,13,Completers within 150% of normal time
138354,1317,626,691,Incoming cohort (minus exclusions)
138354,685,290,395,Completers within 150% of normal time
138558,346,231,115,Incoming cohort (minus exclusions)
138558,144,89,55,Completers within 150% of normal time
138600,271,0,271,Incoming cohort (minus exclusions)
138600,202,0,202,Completers within 150% of normal time
138716,477,181,296,Incoming cohort (minus exclusions)
138716,168,45,123,Completers within 150% of normal time
138813,368,227,141,Incoming cohort (minus exclusions)
138813,78,41,37,Completers within 150% of normal time
138868,217,149,68,Incoming cohort (minus exclusions)
138868,60,26,34,Completers within 150% of normal time
138901,5,4,1,Incoming cohort (minus exclusions)
138901,1,1,0,Completers within 150% of normal time
138947,828,210,618,Incoming cohort (minus exclusions)
138947,344,78,266,Completers within 150% of normal time
139144,573,223,350,Incoming cohort (minus exclusions)
139144,415,148,267,Completers within 150% of normal time
139153,16,10,6,Incoming cohort (minus exclusions)
139153,2,1,1,Completers within 150% of normal time
139199,165,4,161,Incoming cohort (minus exclusions)
139199,85,2,83,Completers within 150% of normal time
139205,113,64,49,Incoming cohort (minus exclusions)
139205,18,6,12,Completers within 150% of normal time
139250,353,101,252,Incoming cohort (minus exclusions)
139250,97,26,71,Completers within 150% of normal time
139311,456,164,292,Incoming cohort (minus exclusions)
