unitid,Total,Men,Women,Group
161457,575,166,409,Incoming cohort (minus exclusions)
161457,380,108,272,Completers within 150% of normal time
161509,109,34,75,Incoming cohort (minus exclusions)
161509,48,17,31,Completers within 150% of normal time
161518,263,99,164,Incoming cohort (minus exclusions)
161518,180,73,107,Completers within 150% of normal time
161554,661,278,383,Incoming cohort (minus exclusions)
161554,228,77,151,Completers within 150% of normal time
161563,259,138,121,Incoming cohort (minus exclusions)
161563,133,71,62,Completers within 150% of normal time
161572,198,100,98,Incoming cohort (minus exclusions)
161572,108,52,56,Completers within 150% of normal time
161873,137,66,71,Incoming cohort (minus exclusions)
161873,52,22,30,Completers within 150% of normal time
162007,559,228,331,Incoming cohort (minus exclusions)
162007,234,77,157,Completers within 150% of normal time
162061,82,72,10,Incoming cohort (minus exclusions)
162061,42,35,7,Completers within 150% of normal time
162210,139,81,58,Incoming cohort (minus exclusions)
162210,56,24,32,Completers within 150% of normal time
162283,242,80,162,Incoming cohort (minus exclusions)
162283,64,28,36,Completers within 150% of normal time
162584,931,516,415,Incoming cohort (minus exclusions)
162584,443,213,230,Completers within 150% of normal time
162654,388,127,261,Incoming cohort (minus exclusions)
162654,227,66,161,Completers within 150% of normal time
162760,256,95,161,Incoming cohort (minus exclusions)
162760,169,59,110,Completers within 150% of normal time
162928,1358,678,680,Incoming cohort (minus exclusions)
162928,1285,632,653,Completers within 150% of normal time
163046,1031,423,608,Incoming cohort (minus exclusions)
163046,830,327,503,Completers within 150% of normal time
163204,149,67,82,Incoming cohort (minus exclusions)
163204,24,9,15,Completers within 150% of normal time
163268,1542,911,631,Incoming cohort (minus exclusions)
163268,1094,613,481,Completers within 150% of normal time
163286,3954,2160,1794,Incoming cohort (minus exclusions)
163286,3472,1879,1593,Completers within 150% of normal time
163295,407,87,320,Incoming cohort (minus exclusions)
163295,301,61,240,Completers within 150% of normal time
163338,1011,442,569,Incoming cohort (minus exclusions)
163338,337,123,214,Completers within 150% of normal time
163453,1159,531,628,Incoming cohort (minus exclusions)
163453,509,215,294,Completers within 150% of normal time
163462,506,239,267,Incoming cohort (minus exclusions)
163462,311,141,170,Completers within 150% of normal time
163532,34,34,0,Incoming cohort (minus exclusions)
163532,12,12,0,Completers within 150% of normal time
163578,93,0,93,Incoming cohort (minus exclusions)
163578,55,0,55,Completers within 150% of normal time
163851,1185,487,698,Incoming cohort (minus exclusions)
163851,856,320,536,Completers within 150% of normal time
163912,393,158,235,Incoming cohort (minus exclusions)
163912,286,109,177,Completers within 150% of normal time
163976,102,58,44,Incoming cohort (minus exclusions)
163976,77,42,35,Completers within 150% of normal time
164076,2706,987,1719,Incoming cohort (minus exclusions)
164076,1956,651,1305,Completers within 150% of normal time
164155,1175,853,322,Incoming cohort (minus exclusions)
164155,1073,774,299,Completers within 150% of normal time
164173,734,277,457,Incoming cohort (minus exclusions)
164173,435,142,293,Completers within 150% of normal time
164216,391,178,213,Incoming cohort (minus exclusions)
164216,293,118,175,Completers within 150% of normal time
164270,429,212,217,Incoming cohort (minus exclusions)
164270,279,134,145,Completers within 150% of normal time
164368,126,88,38,Incoming cohort (minus exclusions)
164368,79,52,27,Completers within 150% of normal time
164447,337,170,167,Incoming cohort (minus exclusions)
164447,143,61,82,Completers within 150% of normal time
164465,475,224,251,Incoming cohort (minus exclusions)
164465,439,205,234,Completers within 150% of normal time
164492,232,95,137,Incoming cohort (minus exclusions)
164492,111,32,79,Completers within 150% of normal time
164562,570,223,347,Incoming cohort (minus exclusions)
164562,408,148,260,Completers within 150% of normal time
164580,525,243,282,Incoming cohort (minus exclusions)
164580,492,226,266,Completers within 150% of normal time
164614,10,7,3,Incoming cohort (minus exclusions)
164614,8,5,3,Completers within 150% of normal time
164632,178,0,178,Incoming cohort (minus exclusions)
164632,90,0,90,Completers within 150% of normal time
164641,55,35,20,Incoming cohort (minus exclusions)
164641,7,2,5,Completers within 150% of normal time
164739,915,556,359,Incoming cohort (minus exclusions)
164739,805,470,335,Completers within 150% of normal time
164748,1007,580,427,Incoming cohort (minus exclusions)
164748,699,379,320,Completers within 150% of normal time
164872,22,11,11,Incoming cohort (minus exclusions)
164872,15,9,6,Completers within 150% of normal time
164924,2300,1115,1185,Incoming cohort (minus exclusions)
164924,2088,999,1089,Completers within 150% of normal time
164988,3604,1326,2278,Incoming cohort (minus exclusions)
164988,3220,1166,2054,Completers within 150% of normal time
165015,802,332,470,Incoming cohort (minus exclusions)
165015,702,284,418,Completers within 150% of normal time
165024,1491,640,851,Incoming cohort (minus exclusions)
165024,931,344,587,Completers within 150% of normal time
165334,665,242,423,Incoming cohort (minus exclusions)
165334,525,193,332,Completers within 150% of normal time
165529,600,288,312,Incoming cohort (minus exclusions)
165529,327,144,183,Completers within 150% of normal time
165574,199,87,112,Incoming cohort (minus exclusions)
165574,114,45,69,Completers within 150% of normal time
165644,109,62,47,Incoming cohort (minus exclusions)
165644,62,33,29,Completers within 150% of normal time
165662,914,358,556,Incoming cohort (minus exclusions)
165662,720,274,446,Completers within 150% of normal time
165671,555,129,426,Incoming cohort (minus exclusions)
165671,390,90,300,Completers within 150% of normal time
165699,785,307,478,Incoming cohort (minus exclusions)
165699,614,223,391,Completers within 150% of normal time
165802,118,49,69,Incoming cohort (minus exclusions)
165802,45,18,27,Completers within 150% of normal time
165820,781,363,418,Incoming cohort (minus exclusions)
165820,446,197,249,Completers within 150% of normal time
165866,843,315,528,Incoming cohort (minus exclusions)
165866,426,149,277,Completers within 150% of normal time
165936,437,153,284,Incoming cohort (minus exclusions)
165936,315,108,207,Completers within 150% of normal time
166018,370,133,237,Incoming cohort (minus exclusions)
166018,231,86,145,Completers within 150% of normal time
166027,1658,852,806,Incoming cohort (minus exclusions)
166027,1604,816,788,Completers within 150% of normal time
166054,31,22,9,Incoming cohort (minus exclusions)
166054,18,13,5,Completers within 150% of normal time
166124,738,352,386,Incoming cohort (minus exclusions)
166124,683,320,363,Completers within 150% of normal time
166391,489,175,314,Incoming cohort (minus exclusions)
166391,326,114,212,Completers within 150% of normal time
166452,372,81,291,Incoming cohort (minus exclusions)
166452,225,42,183,Completers within 150% of normal time
166513,1591,1039,552,Incoming cohort (minus exclusions)
166513,1100,691,409,Completers within 150% of normal time
166629,4642,2358,2284,Incoming cohort (minus exclusions)
166629,3892,1926,1966,Completers within 150% of normal time
166638,1532,732,800,Incoming cohort (minus exclusions)
166638,751,328,423,Completers within 150% of normal time
166656,471,94,377,Incoming cohort (minus exclusions)
166656,306,56,250,Completers within 150% of normal time
166674,292,69,223,Incoming cohort (minus exclusions)
166674,216,46,170,Completers within 150% of normal time
166683,1106,588,518,Incoming cohort (minus exclusions)
166683,1064,559,505,Completers within 150% of normal time
166692,380,339,41,Incoming cohort (minus exclusions)
166692,296,258,38,Completers within 150% of normal time
166850,827,406,421,Incoming cohort (minus exclusions)
166850,571,269,302,Completers within 150% of normal time
166911,81,23,58,Incoming cohort (minus exclusions)
166911,51,15,36,Completers within 150% of normal time
166939,512,0,512,Incoming cohort (minus exclusions)
166939,435,0,435,Completers within 150% of normal time
167057,86,49,37,Incoming cohort (minus exclusions)
167057,71,38,33,Completers within 150% of normal time
167260,323,219,104,Incoming cohort (minus exclusions)
167260,186,119,67,Completers within 150% of normal time
167288,269,95,174,Incoming cohort (minus exclusions)
167288,157,60,97,Completers within 150% of normal time
167358,2789,1414,1375,Incoming cohort (minus exclusions)
167358,2526,1266,1260,Completers within 150% of normal time
167394,182,50,132,Incoming cohort (minus exclusions)
167394,124,33,91,Completers within 150% of normal time
167455,97,46,51,Incoming cohort (minus exclusions)
167455,20,9,11,Completers within 150% of normal time
167598,266,67,199,Incoming cohort (minus exclusions)
167598,162,35,127,Completers within 150% of normal time
167729,1082,400,682,Incoming cohort (minus exclusions)
167729,614,195,419,Completers within 150% of normal time
167783,471,0,471,Incoming cohort (minus exclusions)
167783,333,0,333,Completers within 150% of normal time
167835,609,1,608,Incoming cohort (minus exclusions)
167835,554,1,553,Completers within 150% of normal time
167899,546,270,276,Incoming cohort (minus exclusions)
167899,399,187,212,Completers within 150% of normal time
167987,1404,754,650,Incoming cohort (minus exclusions)
167987,760,368,392,Completers within 150% of normal time
167996,656,255,401,Incoming cohort (minus exclusions)
167996,555,212,343,Completers within 150% of normal time
168005,1320,584,736,Incoming cohort (minus exclusions)
168005,795,319,476,Completers within 150% of normal time
168148,1357,700,657,Incoming cohort (minus exclusions)
168148,1273,650,623,Completers within 150% of normal time
168218,593,0,593,Incoming cohort (minus exclusions)
168218,546,0,546,Completers within 150% of normal time
168227,963,759,204,Incoming cohort (minus exclusions)
168227,691,523,168,Completers within 150% of normal time
168254,719,460,259,Incoming cohort (minus exclusions)
168254,454,280,174,Completers within 150% of normal time
168263,1291,582,709,Incoming cohort (minus exclusions)
168263,782,323,459,Completers within 150% of normal time
168281,417,161,256,Incoming cohort (minus exclusions)
168281,304,112,192,Completers within 150% of normal time
168342,551,281,270,Incoming cohort (minus exclusions)
168342,517,259,258,Completers within 150% of normal time
168421,1093,728,365,Incoming cohort (minus exclusions)
168421,953,627,326,Completers within 150% of normal time
168430,803,330,473,Incoming cohort (minus exclusions)
168430,489,171,318,Completers within 150% of normal time
168528,490,292,198,Incoming cohort (minus exclusions)
168528,255,133,122,Completers within 150% of normal time
168546,455,234,221,Incoming cohort (minus exclusions)
168546,293,131,162,Completers within 150% of normal time
168591,336,138,198,Incoming cohort (minus exclusions)
168591,211,80,131,Completers within 150% of normal time
168740,258,110,148,Incoming cohort (minus exclusions)
168740,189,77,112,Completers within 150% of normal time
168786,368,131,237,Incoming cohort (minus exclusions)
168786,222,70,152,Completers within 150% of normal time
168847,478,183,295,Incoming cohort (minus exclusions)
168847,90,27,63,Completers within 150% of normal time
169080,938,406,532,Incoming cohort (minus exclusions)
169080,725,297,428,Completers within 150% of normal time
169248,3436,1405,2031,Incoming cohort (minus exclusions)
169248,2119,782,1337,Completers within 150% of normal time
169327,49,34,15,Incoming cohort (minus exclusions)
169327,24,12,12,Completers within 150% of normal time
169363,152,83,69,Incoming cohort (minus exclusions)
169363,78,32,46,Completers within 150% of normal time
169442,259,109,150,Incoming cohort (minus exclusions)
169442,160,69,91,Completers within 150% of normal time
169479,434,268,166,Incoming cohort (minus exclusions)
169479,211,110,101,Completers within 150% of normal time
169716,503,195,308,Incoming cohort (minus exclusions)
169716,336,114,222,Completers within 150% of normal time
169798,2846,1124,1722,Incoming cohort (minus exclusions)
169798,1372,490,882,Completers within 150% of normal time
169910,625,279,346,Incoming cohort (minus exclusions)
169910,348,148,200,Completers within 150% of normal time
169983,434,359,75,Incoming cohort (minus exclusions)
169983,302,246,56,Completers within 150% of normal time
170000,84,47,37,Incoming cohort (minus exclusions)
170000,48,28,20,Completers within 150% of normal time
170037,295,115,180,Incoming cohort (minus exclusions)
170037,178,70,108,Completers within 150% of normal time
170082,4091,1547,2544,Incoming cohort (minus exclusions)
170082,2745,978,1767,Completers within 150% of normal time
170091,44,23,21,Incoming cohort (minus exclusions)
170091,13,3,10,Completers within 150% of normal time
170286,362,177,185,Incoming cohort (minus exclusions)
170286,317,157,160,Completers within 150% of normal time
170301,785,324,461,Incoming cohort (minus exclusions)
170301,633,239,394,Completers within 150% of normal time
170444,5,4,1,Incoming cohort (minus exclusions)
170444,2,1,1,Completers within 150% of normal time
170532,364,159,205,Incoming cohort (minus exclusions)
170532,278,116,162,Completers within 150% of normal time
170639,379,188,191,Incoming cohort (minus exclusions)
170639,204,101,103,Completers within 150% of normal time
170675,340,256,84,Incoming cohort (minus exclusions)
170675,189,138,51,Completers within 150% of normal time
170806,175,53,122,Incoming cohort (minus exclusions)
170806,112,23,89,Completers within 150% of normal time
170967,121,49,72,Incoming cohort (minus exclusions)
170967,48,14,34,Completers within 150% of normal time
170976,6049,2965,3084,Incoming cohort (minus exclusions)
170976,5665,2759,2906,Completers within 150% of normal time
171100,7843,3636,4207,Incoming cohort (minus exclusions)
171100,6456,2912,3544,Completers within 150% of normal time
171128,1275,910,365,Incoming cohort (minus exclusions)
171128,881,607,274,Completers within 150% of normal time
171137,959,543,416,Incoming cohort (minus exclusions)
171137,540,290,250,Completers within 150% of normal time
171146,587,231,356,Incoming cohort (minus exclusions)
171146,209,74,135,Completers within 150% of normal time
171456,1035,441,594,Incoming cohort (minus exclusions)
171456,554,214,340,Completers within 150% of normal time
171483,16,16,0,Incoming cohort (minus exclusions)
171483,12,12,0,Completers within 150% of normal time
171492,336,223,113,Incoming cohort (minus exclusions)
171492,207,128,79,Completers within 150% of normal time
171571,2582,1127,1455,Incoming cohort (minus exclusions)
171571,1448,580,868,Completers within 150% of normal time
171599,238,151,87,Incoming cohort (minus exclusions)
171599,105,56,49,Completers within 150% of normal time
171881,38,17,21,Incoming cohort (minus exclusions)
171881,18,6,12,Completers within 150% of normal time
172033,6,5,1,Incoming cohort (minus exclusions)
172033,6,5,1,Completers within 150% of normal time
172051,1556,719,837,Incoming cohort (minus exclusions)
172051,661,261,400,Completers within 150% of normal time
172264,302,153,149,Incoming cohort (minus exclusions)
172264,154,68,86,Completers within 150% of normal time
172334,290,124,166,Incoming cohort (minus exclusions)
172334,187,75,112,Completers within 150% of normal time
172440,141,92,49,Incoming cohort (minus exclusions)
172440,29,15,14,Completers within 150% of normal time
172644,2319,1051,1268,Incoming cohort (minus exclusions)
172644,1293,558,735,Completers within 150% of normal time
172699,2950,1461,1489,Incoming cohort (minus exclusions)
172699,1660,771,889,Completers within 150% of normal time
172866,5,5,0,Incoming cohort (minus exclusions)
172866,5,5,0,Completers within 150% of normal time
173045,477,223,254,Incoming cohort (minus exclusions)
173045,277,123,154,Completers within 150% of normal time
173124,727,338,389,Incoming cohort (minus exclusions)
173124,346,143,203,Completers within 150% of normal time
173142,134,63,71,Incoming cohort (minus exclusions)
173142,84,39,45,Completers within 150% of normal time
173160,615,255,360,Incoming cohort (minus exclusions)
173160,457,180,277,Completers within 150% of normal time
173258,491,242,249,Incoming cohort (minus exclusions)
173258,449,221,228,Completers within 150% of normal time
173300,520,206,314,Incoming cohort (minus exclusions)
173300,386,138,248,Completers within 150% of normal time
173328,229,113,116,Incoming cohort (minus exclusions)
173328,121,51,70,Completers within 150% of normal time
173452,171,84,87,Incoming cohort (minus exclusions)
173452,128,60,68,Completers within 150% of normal time
173647,611,281,330,Incoming cohort (minus exclusions)
173647,479,208,271,Completers within 150% of normal time
173665,510,193,317,Incoming cohort (minus exclusions)
173665,331,113,218,Completers within 150% of normal time
173902,582,232,350,Incoming cohort (minus exclusions)
173902,522,204,318,Completers within 150% of normal time
173920,2379,1055,1324,Incoming cohort (minus exclusions)
173920,1233,507,726,Completers within 150% of normal time
174020,73,35,38,Incoming cohort (minus exclusions)
174020,28,9,19,Completers within 150% of normal time
174066,5755,2639,3116,Incoming cohort (minus exclusions)
174066,4846,2168,2678,Completers within 150% of normal time
174075,207,114,93,Incoming cohort (minus exclusions)
174075,116,58,58,Completers within 150% of normal time
174127,145,39,106,Incoming cohort (minus exclusions)
174127,96,26,70,Completers within 150% of normal time
174154,6,1,5,Incoming cohort (minus exclusions)
174154,3,0,3,Completers within 150% of normal time
174233,1987,1024,963,Incoming cohort (minus exclusions)
174233,1285,657,628,Completers within 150% of normal time
174251,414,172,242,Incoming cohort (minus exclusions)
174251,239,93,146,Completers within 150% of normal time
174358,715,270,445,Incoming cohort (minus exclusions)
174358,407,120,287,Completers within 150% of normal time
174437,218,96,122,Incoming cohort (minus exclusions)
174437,130,64,66,Completers within 150% of normal time
174491,439,196,243,Incoming cohort (minus exclusions)
174491,298,118,180,Completers within 150% of normal time
174525,10,6,4,Incoming cohort (minus exclusions)
174525,2,1,1,Completers within 150% of normal time
174747,476,0,476,Incoming cohort (minus exclusions)
174747,365,0,365,Completers within 150% of normal time
174783,1780,822,958,Incoming cohort (minus exclusions)
174783,840,389,451,Completers within 150% of normal time
174792,451,451,0,Incoming cohort (minus exclusions)
174792,355,355,0,Completers within 150% of normal time
174817,277,126,151,Incoming cohort (minus exclusions)
174817,157,70,87,Completers within 150% of normal time
174844,761,349,412,Incoming cohort (minus exclusions)
174844,647,287,360,Completers within 150% of normal time
174862,146,71,75,Incoming cohort (minus exclusions)
174862,89,34,55,Completers within 150% of normal time
174899,442,148,294,Incoming cohort (minus exclusions)
174899,288,95,193,Completers within 150% of normal time
174914,1420,711,709,Incoming cohort (minus exclusions)
174914,1109,542,567,Completers within 150% of normal time
175005,398,2,396,Incoming cohort (minus exclusions)
175005,239,2,237,Completers within 150% of normal time
175078,444,208,236,Incoming cohort (minus exclusions)
175078,212,88,124,Completers within 150% of normal time
175227,3,1,2,Incoming cohort (minus exclusions)
175227,1,0,1,Completers within 150% of normal time
175272,1616,538,1078,Incoming cohort (minus exclusions)
175272,1018,317,701,Completers within 150% of normal time
175342,597,242,355,Incoming cohort (minus exclusions)
175342,250,92,158,Completers within 150% of normal time
175421,246,102,144,Incoming cohort (minus exclusions)
175421,132,42,90,Completers within 150% of normal time
175430,55,31,24,Incoming cohort (minus exclusions)
175430,32,13,19,Completers within 150% of normal time
175616,321,130,191,Incoming cohort (minus exclusions)
175616,141,54,87,Completers within 150% of normal time
175856,1222,514,708,Incoming cohort (minus exclusions)
175856,476,187,289,Completers within 150% of normal time
175980,221,118,103,Incoming cohort (minus exclusions)
175980,136,70,66,Completers within 150% of normal time
176017,3888,1650,2238,Incoming cohort (minus exclusions)
176017,2659,1046,1613,Completers within 150% of normal time
176035,233,65,168,Incoming cohort (minus exclusions)
176035,104,16,88,Completers within 150% of normal time
176044,369,186,183,Incoming cohort (minus exclusions)
176044,100,38,62,Completers within 150% of normal time
176053,593,221,372,Incoming cohort (minus exclusions)
176053,372,114,258,Completers within 150% of normal time
176080,3454,1618,1836,Incoming cohort (minus exclusions)
176080,2063,940,1123,Completers within 150% of normal time
176318,235,101,134,Incoming cohort (minus exclusions)
176318,62,21,41,Completers within 150% of normal time
176372,1512,492,1020,Incoming cohort (minus exclusions)
176372,783,233,550,Completers within 150% of normal time
176406,154,56,98,Incoming cohort (minus exclusions)
176406,52,12,40,Completers within 150% of normal time
176479,229,89,140,Incoming cohort (minus exclusions)
176479,138,45,93,Completers within 150% of normal time
176628,202,95,107,Incoming cohort (minus exclusions)
176628,79,30,49,Completers within 150% of normal time
176664,88,40,48,Incoming cohort (minus exclusions)
176664,27,11,16,Completers within 150% of normal time
176789,27,12,15,Incoming cohort (minus exclusions)
176789,12,4,8,Completers within 150% of normal time
176910,33,18,15,Incoming cohort (minus exclusions)
176910,17,10,7,Completers within 150% of normal time
176947,275,146,129,Incoming cohort (minus exclusions)
176947,129,59,70,Completers within 150% of normal time
176965,1639,695,944,Incoming cohort (minus exclusions)
176965,861,321,540,Completers within 150% of normal time
177038,3,1,2,Incoming cohort (minus exclusions)
177038,2,0,2,Completers within 150% of normal time
177065,334,139,195,Incoming cohort (minus exclusions)
177065,120,45,75,Completers within 150% of normal time
177083,19,19,0,Incoming cohort (minus exclusions)
177083,7,7,0,Completers within 150% of normal time
177117,69,0,69,Incoming cohort (minus exclusions)
177117,61,0,61,Completers within 150% of normal time
177144,260,129,131,Incoming cohort (minus exclusions)
177144,127,46,81,Completers within 150% of normal time
177214,282,123,159,Incoming cohort (minus exclusions)
177214,170,63,107,Completers within 150% of normal time
177339,362,156,206,Incoming cohort (minus exclusions)
177339,229,91,138,Completers within 150% of normal time
177418,178,75,103,Incoming cohort (minus exclusions)
177418,109,40,69,Completers within 150% of normal time
177542,144,62,82,Incoming cohort (minus exclusions)
177542,52,21,31,Completers within 150% of normal time
177551,265,91,174,Incoming cohort (minus exclusions)
177551,50,20,30,Completers within 150% of normal time
177746,145,37,108,Incoming cohort (minus exclusions)
177746,90,21,69,Completers within 150% of normal time
177816,16,16,0,Incoming cohort (minus exclusions)
177816,11,11,0,Completers within 150% of normal time
177940,536,252,284,Incoming cohort (minus exclusions)
177940,144,49,95,Completers within 150% of normal time
177968,1216,574,642,Incoming cohort (minus exclusions)
177968,646,274,372,Completers within 150% of normal time
178059,381,133,248,Incoming cohort (minus exclusions)
178059,279,90,189,Completers within 150% of normal time
178208,33,20,13,Incoming cohort (minus exclusions)
178208,17,8,9,Completers within 150% of normal time
178244,227,137,90,Incoming cohort (minus exclusions)
178244,95,41,54,Completers within 150% of normal time
178341,854,361,493,Incoming cohort (minus exclusions)
178341,320,108,212,Completers within 150% of normal time
178369,432,273,159,Incoming cohort (minus exclusions)
178369,109,52,57,Completers within 150% of normal time
178387,764,307,457,Incoming cohort (minus exclusions)
178387,287,113,174,Completers within 150% of normal time
178396,6025,2824,3201,Incoming cohort (minus exclusions)
178396,4369,1935,2434,Completers within 150% of normal time
178402,1020,392,628,Incoming cohort (minus exclusions)
178402,579,214,365,Completers within 150% of normal time
178411,1466,1123,343,Incoming cohort (minus exclusions)
178411,930,679,251,Completers within 150% of normal time
178420,497,214,283,Incoming cohort (minus exclusions)
178420,286,115,171,Completers within 150% of normal time
178615,1256,501,755,Incoming cohort (minus exclusions)
178615,905,340,565,Completers within 150% of normal time
178624,1342,538,804,Incoming cohort (minus exclusions)
178624,689,253,436,Completers within 150% of normal time
178679,133,62,71,Incoming cohort (minus exclusions)
178679,88,47,41,Completers within 150% of normal time
178697,344,145,199,Incoming cohort (minus exclusions)
178697,215,89,126,Completers within 150% of normal time
178721,139,49,90,Incoming cohort (minus exclusions)
178721,37,15,22,Completers within 150% of normal time
178767,6,0,6,Incoming cohort (minus exclusions)
178767,6,0,6,Completers within 150% of normal time
178891,11,10,1,Incoming cohort (minus exclusions)
178891,8,7,1,Completers within 150% of normal time
179043,318,126,192,Incoming cohort (minus exclusions)
179043,236,85,151,Completers within 150% of normal time
179159,1622,664,958,Incoming cohort (minus exclusions)
179159,1297,507,790,Completers within 150% of normal time
179256,10,9,1,Incoming cohort (minus exclusions)
179256,4,4,0,Completers within 150% of normal time
179265,188,73,115,Incoming cohort (minus exclusions)
179265,144,59,85,Completers within 150% of normal time
179326,423,182,241,Incoming cohort (minus exclusions)
179326,220,80,140,Completers within 150% of normal time
179548,189,0,189,Incoming cohort (minus exclusions)
179548,101,0,101,Completers within 150% of normal time
179557,1554,662,892,Incoming cohort (minus exclusions)
179557,842,322,520,Completers within 150% of normal time
179566,3196,1169,2027,Incoming cohort (minus exclusions)
179566,1901,635,1266,Completers within 150% of normal time
179867,1716,822,894,Incoming cohort (minus exclusions)
179867,1598,752,846,Completers within 150% of normal time
179894,412,172,240,Incoming cohort (minus exclusions)
179894,235,84,151,Completers within 150% of normal time
179946,239,123,116,Incoming cohort (minus exclusions)
179946,125,59,66,Completers within 150% of normal time
179955,245,119,126,Incoming cohort (minus exclusions)
179955,160,71,89,Completers within 150% of normal time
179964,190,51,139,Incoming cohort (minus exclusions)
179964,105,28,77,Completers within 150% of normal time
180106,387,176,211,Incoming cohort (minus exclusions)
180106,261,121,140,Completers within 150% of normal time
180179,391,154,237,Incoming cohort (minus exclusions)
180179,113,37,76,Completers within 150% of normal time
180258,163,88,75,Incoming cohort (minus exclusions)
180258,63,34,29,Completers within 150% of normal time
180416,286,212,74,Incoming cohort (minus exclusions)
180416,164,114,50,Completers within 150% of normal time
180461,2499,1417,1082,Incoming cohort (minus exclusions)
180461,1362,708,654,Completers within 150% of normal time
180489,1298,559,739,Incoming cohort (minus exclusions)
180489,658,256,402,Completers within 150% of normal time
180522,80,62,18,Incoming cohort (minus exclusions)
180522,33,25,8,Completers within 150% of normal time
180595,239,112,127,Incoming cohort (minus exclusions)
180595,125,56,69,Completers within 150% of normal time
180647,45,17,28,Incoming cohort (minus exclusions)
180647,22,8,14,Completers within 150% of normal time
180692,200,80,120,Incoming cohort (minus exclusions)
180692,92,35,57,Completers within 150% of normal time
180814,53,27,26,Incoming cohort (minus exclusions)
180814,12,4,8,Completers within 150% of normal time
180832,25,1,24,Incoming cohort (minus exclusions)
180832,17,0,17,Completers within 150% of normal time
180878,43,4,39,Incoming cohort (minus exclusions)
180878,30,2,28,Completers within 150% of normal time
180948,413,184,229,Incoming cohort (minus exclusions)
180948,160,62,98,Completers within 150% of normal time
180984,347,171,176,Incoming cohort (minus exclusions)
180984,202,78,124,Completers within 150% of normal time
181002,1041,463,578,Incoming cohort (minus exclusions)
181002,816,362,454,Completers within 150% of normal time
181020,330,196,134,Incoming cohort (minus exclusions)
181020,194,112,82,Completers within 150% of normal time
181127,293,161,132,Incoming cohort (minus exclusions)
181127,145,66,79,Completers within 150% of normal time
181215,767,320,447,Incoming cohort (minus exclusions)
181215,436,154,282,Completers within 150% of normal time
181297,22,1,21,Incoming cohort (minus exclusions)
181297,16,0,16,Completers within 150% of normal time
181330,309,184,125,Incoming cohort (minus exclusions)
181330,139,72,67,Completers within 150% of normal time
181394,1510,735,775,Incoming cohort (minus exclusions)
181394,786,350,436,Completers within 150% of normal time
181446,439,207,232,Incoming cohort (minus exclusions)
181446,289,123,166,Completers within 150% of normal time
181464,4108,2253,1855,Incoming cohort (minus exclusions)
181464,2729,1412,1317,Completers within 150% of normal time
181534,248,126,122,Incoming cohort (minus exclusions)
181534,99,37,62,Completers within 150% of normal time
181543,1,1,0,Incoming cohort (minus exclusions)
181543,1,1,0,Completers within 150% of normal time
181604,74,0,74,Incoming cohort (minus exclusions)
181604,44,0,44,Completers within 150% of normal time
181738,153,52,101,Incoming cohort (minus exclusions)
181738,93,32,61,Completers within 150% of normal time
181783,630,260,370,Incoming cohort (minus exclusions)
181783,315,122,193,Completers within 150% of normal time
181853,108,72,36,Incoming cohort (minus exclusions)
181853,46,25,21,Completers within 150% of normal time
182281,3654,1503,2151,Incoming cohort (minus exclusions)
